Date,White1,White2,White3,White4,White5,Powerball
2013-03-23,17,29,31,52,53,31
2013-03-27,7,37,43,48,52,16
2013-03-30,11,23,26,46,55,27
2013-04-03,1,6,8,12,35,3
2013-04-06,4,7,8,29,39,24
2013-04-10,1,36,40,52,53,20
2013-04-13,10,12,31,56,57,33
2013-04-17,13,18,36,48,58,28
2013-04-20,6,8,30,39,48,20
2013-04-24,9,19,31,56,59,2
2013-04-27,3,23,48,54,55,5
2013-05-01,22,26,31,54,55,18
2013-05-04,7,12,26,36,40,17
2013-05-08,21,22,26,30,57,27
2013-05-11,6,13,19,23,43,16
2013-05-15,2,11,26,34,41,32
2013-05-18,10,13,14,22,52,11
2013-05-22,9,31,35,41,57,26
2013-05-25,2,6,19,21,27,25
2013-05-29,9,14,17,49,57,2
2013-06-01,22,28,33,53,59,14
2013-06-05,4,26,33,36,55,32
2013-06-08,2,11,22,26,32,19
2013-06-12,16,22,23,42,55,32
2013-06-15,28,36,40,48,55,1
2013-06-19,7,46,47,52,57,17
2013-06-22,13,19,23,33,57,28
2013-06-26,1,18,33,39,46,33
2013-06-29,8,28,30,53,56,16
2013-07-03,3,6,29,40,51,4
2013-07-06,2,13,35,36,52,11
2013-07-10,30,31,45,55,59,27
2013-07-13,2,8,22,35,37,6
2013-07-17,1,22,34,38,42,17
2013-07-20,14,25,27,38,58,6
2013-07-24,9,29,40,44,54,7
2013-07-27,9,23,40,53,58,6
2013-07-31,8,24,39,49,59,5
2013-08-03,21,24,36,42,45,15
2013-08-07,5,25,30,58,59,32
2013-08-10,4,12,14,37,58,13
2013-08-14,4,11,17,43,51,20
2013-08-17,18,21,46,54,56,23
2013-08-21,30,40,42,46,48,23
2013-08-24,12,17,25,45,59,19
2013-08-28,6,7,9,19,32,13
2013-08-31,2,7,25,40,56,20
2013-09-04,2,9,26,45,47,11
2013-09-07,2,19,22,26,45,24
2013-09-11,11,19,33,42,52,33
2013-09-14,1,17,25,37,44,20
2013-09-18,7,10,22,32,35,19
2013-09-21,12,17,45,54,58,13
2013-09-25,2,7,17,49,53,23
2013-09-28,14,47,52,53,54,5
2013-10-02,4,6,25,42,51,17
2013-10-05,11,12,17,39,40,5
2013-10-09,3,9,19,33,38,18
2013-10-12,8,10,26,57,58,4
2013-10-16,3,26,28,34,42,28
2013-10-19,9,33,54,56,57,5
2013-10-23,3,23,31,34,47,13
2013-10-26,4,6,34,49,56,29
2013-10-30,2,36,40,49,54,10
2013-11-02,13,23,24,27,40,17
2013-11-06,1,5,10,15,49,22
2013-11-09,3,9,37,49,56,32
2013-11-13,5,31,50,55,56,9
2013-11-16,10,29,37,44,59,10
2013-11-20,4,18,23,32,45,7
2013-11-23,5,12,43,52,55,10
2013-11-27,18,25,50,55,57,17
2013-11-30,5,26,44,45,57,29
2013-12-04,6,9,11,31,44,25
2013-12-07,13,20,32,45,48,17
2013-12-11,1,10,13,18,19,27
2013-12-14,14,25,32,33,41,34
2013-12-18,7,24,37,39,40,1
2013-12-21,25,36,40,45,51,8
2013-12-25,23,28,38,39,56,32
2013-12-28,8,35,44,51,56,18
2014-01-01,15,24,40,48,52,23
2014-01-04,19,20,37,41,58,14
2014-01-08,10,28,39,47,58,22
2014-01-11,10,15,33,48,54,34
2014-01-15,7,8,9,24,29,25
2014-01-18,13,14,19,31,38,25
2014-01-22,1,2,7,9,55,29
2014-01-25,8,12,18,55,57,2
2014-01-29,11,23,28,32,47,20
2014-02-01,5,12,15,27,38,7
2014-02-05,8,17,32,57,59,24
2014-02-08,24,25,34,37,54,29
2014-02-12,36,44,49,52,57,1
